Temperatur;Luftdruck 
69,017;9,75
79,459;9,702
70,49;9,711
68,85;9,725
73,144;9,751
78,818;9,741
75,312;9,753
78,17;9,702
75,569;9,714
78,797;9,704
71,011;9,751
77,718;9,722
74,112;9,727
67,589;9,72
74,961;9,751
71,566;9,758
67,401;9,74
71,552;9,726
79,251;9,728
69,891;9,75
78,486;9,746
67,7;9,712
74,385;9,744
77,157;9,702
75,793;9,717
72,328;9,712
71,801;9,712
78,359;9,73
67,639;9,747
76,298;9,741
65,757;9,7
69,631;9,752
69,862;9,759
79,101;9,753
72,633;9,704
69,377;9,753
78,937;9,743
79,386;9,746
77,994;9,737
65,114;9,702
74,768;9,727
73,422;9,735
69,76;9,746
79,993;9,7
66,749;9,71
74,063;9,749
71,507;9,732
76,116;9,758
75,531;9,704
73,899;9,759
77,85;9,703
69,479;9,743
75,726;9,76
75,886;9,747
77,126;9,76
70,273;9,748
70,128;9,751
66,303;9,743
73,454;9,71
75,934;9,741
77,059;9,758
70,221;9,704
74,264;9,752
78,472;9,758
66,038;9,752
66,981;9,7
72,938;9,701
68,88;9,717
69,143;9,715
70,032;9,737
67,231;9,703
70,089;9,736
77,068;9,712
67,808;9,734
69,029;9,724
69,186;9,751
71,207;9,736
70,952;9,718
68,617;9,745
74,136;9,705
76,107;9,76
74,084;9,742
78,419;9,716
76,687;9,718
77,08;9,721
73,633;9,708
70,856;9,734
66,097;9,731
69,659;9,755
66,468;9,718
68,934;9,701
72,611;9,726
70,84;9,72
72,147;9,725
76,115;9,733
66,557;9,741
66,182;9,755
73,274;9,712
68,729;9,736
71,067;9,716
78,327;9,742
67,77;9,741
66,399;9,735
77,203;9,711
79,128;9,731
65,339;9,741
74,108;9,757
67,349;9,756
66,43;9,738
75,92;9,707
78,91;9,732
65,339;9,702
76,838;9,745
70,964;9,706
78,899;9,759
79,469;9,704
78,242;9,755
75,362;9,746
77,389;9,711
76,838;9,735
69,062;9,727
69,43;9,721
69,955;9,754
65,409;9,722
71,435;9,73
66,337;9,731
66,394;9,747
79,364;9,732
79,689;9,736
70,173;9,748
71,39;9,745
77,943;9,712
71,874;9,756
75,688;9,757
79,674;9,727
75,985;9,713
69,41;9,724
75,782;9,751
67,513;9,717
78,269;9,71
76,367;9,741
71,114;9,76
79,337;9,743
69,04;9,74
70,329;9,76
75,46;9,717
79,787;9,702
74,226;9,709
75,723;9,741
72,013;9,75
78,706;9,731
69,042;9,712
79,63;9,71
66,809;9,746
66,036;9,71
79,693;9,701
77,023;9,751
74,296;9,752
78,039;9,714
68,067;9,743
66,08;9,71
73,094;9,724
73,474;9,754
74,08;9,757
73,291;9,747
79,725;9,726
73,318;9,747
71,537;9,703
73,452;9,722
73,638;9,752
66,268;9,748
72,651;9,73
68,172;9,76
65,246;9,756
67,759;9,737
68,072;9,742
69,538;9,741
79,572;9,701
65,407;9,724
78,645;9,75
65,926;9,734
75,905;9,73
71,398;9,733
73,224;9,755
77,978;9,724
70,211;9,755
68,83;9,718
71,453;9,741
74,138;9,748
67,736;9,756
68,016;9,714
73,835;9,705
72,101;9,753
70,984;9,718
68,056;9,705
68,682;9,731
73,193;9,746
68,229;9,753
73,577;9,754
69,29;9,732
76,351;9,718
77,064;9,711
66,182;9,716
66,585;9,744
73,654;9,723
75,646;9,702
70,495;9,76
66,626;9,748
73,288;9,737
65,449;9,71
78,265;9,759
78,305;9,73
69,682;9,7
74,41;9,751
76,068;9,716
78,077;9,711
78,566;9,704
74,104;9,713
72,152;9,739
68,229;9,719
79,987;9,744
74,756;9,76
77,368;9,712
76,465;9,751
68,938;9,718
67,346;9,754
75,74;9,716
67,375;9,726
73,712;9,719
78,547;9,715
66,476;9,724
68,776;9,753
72,177;9,714
74,941;9,756
79,414;9,705
79,075;9,754
71,08;9,744
65,535;9,759
78,455;9,747
77,758;9,731
70,954;9,711
78,585;9,729
71,577;9,715
76,149;9,725
73,749;9,728
68,881;9,738
73,398;9,759
77,488;9,759
72,237;9,758
73,352;9,755
77,92;9,728
78,067;9,749
78,459;9,707
73,418;9,755
79,26;9,726
75,609;9,712
72,321;9,744
77,58;9,759
73,477;9,705
78,592;9,738
75,155;9,727
70,597;9,716
75,599;9,737
77,688;9,714
65,848;9,709
77,086;9,717
71,173;9,727
75,56;9,738
79,906;9,757
76,208;9,729
65,475;9,751
77,555;9,705
75,99;9,706
79,941;9,723
71,761;9,738
65,985;9,734
69,491;9,724
67,958;9,735
66,981;9,715
67,158;9,714
72,964;9,753
66,652;9,757
75,146;9,749
72,395;9,703
76,753;9,733
71,195;9,739
70,553;9,757
73,839;9,731
66,149;9,707
69,464;9,714
76,826;9,727
68,128;9,713
74,889;9,734
79,399;9,7
78,2;9,714
72,058;9,74
74,525;9,704
78,221;9,75
70,929;9,742
76,279;9,758
73,255;9,723
68,116;9,729
78,881;9,73
70,079;9,756
72,311;9,707
71,69;9,737
75,569;9,739
73,647;9,744
74,864;9,759
68,957;9,706
66,725;9,758
67,485;9,751
73,609;9,759
65,133;9,706
72,756;9,751
71,854;9,719
78,07;9,735
77,87;9,735
76,904;9,748
75,319;9,729
79,002;9,754
77,469;9,757
70,048;9,735
70,514;9,701
77,643;9,702
75,124;9,713
75,573;9,736
70,07;9,732
72,067;9,707
76,342;9,745
72,874;9,753
79,208;9,723
70,322;9,719
70,569;9,714
71,472;9,719
66,698;9,741
72,538;9,733
70,026;9,748
72,143;9,737
75,436;9,714
68,648;9,742
67,706;9,731
77,992;9,737
65,706;9,75
73,548;9,725
78,006;9,701
73,065;9,719
70,512;9,746
73,976;9,704
76,333;9,721
65,93;9,739
65,387;9,713
69,909;9,74
73,437;9,705
79,947;9,718
72,409;9,713
73,34;9,715
75,897;9,737
79,627;9,722
79,815;9,739
78,385;9,736
67,845;9,722
73,138;9,706
74,725;9,726
71,864;9,712
67,675;9,74
69,78;9,751
70,181;9,701
78,994;9,709
77,302;9,755
78,977;9,734
72,156;9,733
74,614;9,709
65,756;9,705
72,758;9,708
74,768;9,726
68,062;9,703
75,918;9,703
79,552;9,742
71,995;9,718
66,302;9,732
78,505;9,744
73,762;9,744
67,912;9,746
74,605;9,743
74,326;9,746
66,591;9,747
76,45;9,758
66,953;9,754
69,468;9,7
75,904;9,727
72,439;9,759
66,539;9,756
70,775;9,701
74,81;9,753
65,7;9,76
74,289;9,757
68,848;9,717
75,355;9,725
78,647;9,728
76,373;9,704
68,418;9,72
70,526;9,751
74,137;9,749
65,574;9,715
74,31;9,72
76,667;9,728
68,301;9,739
70,503;9,71
65,139;9,748
78,749;9,758
67,155;9,71
76,702;9,752
74,165;9,722
65,896;9,758
69,493;9,719
74,879;9,744
70,675;9,717
72,737;9,73
79,321;9,727
66,424;9,721
71,454;9,707
78,5;9,71
78,833;9,711
69,931;9,757
65,39;9,752
73,995;9,743
77,567;9,712
79,381;9,755
79,712;9,708
77,664;9,736
68,903;9,741
73,769;9,759
66,827;9,7
66,17;9,714
65,206;9,723
70,266;9,744
67,275;9,718
68,899;9,746
79,253;9,758
70,611;9,732
76,868;9,754
77,758;9,737
67,891;9,725
79,643;9,705
72,793;9,734
68,308;9,713
79,363;9,727
69,01;9,723
67,514;9,71
67,971;9,759
77,213;9,752
69,073;9,706
79,392;9,708
73,111;9,711
78,711;9,715
70,737;9,708
71,935;9,723
74,247;9,714
75,374;9,74
67,829;9,737
68,919;9,744
65,46;9,752
78,174;9,711
68,322;9,708
78,97;9,735
69,07;9,715
78,48;9,722
70,768;9,76
66,289;9,706
67,807;9,746
71,162;9,738
71,639;9,74
79,289;9,73
67,618;9,755
68,58;9,748
77,224;9,71
71,681;9,728
