Sens-1;Sens-2;Sens-3;Sens-4;Sens-5;Sens-6;Sens-7;Sens-8;Sens-9;Sens-10;Label
15.31;25.31;75.31;109.23;63.07;0.65;159.60;23.69;41.53;59.21;1
16.76;26.76;76.76;115.05;77.62;1.38;181.44;47.48;77.22;118.70;1
18.62;28.62;78.62;122.48;96.20;2.31;209.29;46.78;76.16;116.94;1
18.52;28.52;78.52;122.08;95.21;2.26;207.82;41.68;68.52;104.20;1
18.93;28.93;78.93;123.74;99.34;2.47;214.01;34.61;57.92;86.54;1
17.28;27.28;77.28;117.12;82.81;1.64;189.21;46.71;76.07;116.78;1
18.09;28.09;78.09;120.35;90.88;2.04;201.31;42.68;70.02;106.71;1
19.00;29.00;79.00;124.00;100.00;2.50;215.00;31.19;52.78;77.96;1
17.78;27.78;77.78;119.11;87.79;1.89;196.68;43.80;71.71;109.51;0
17.83;27.83;77.83;119.31;88.27;1.91;197.40;47.71;77.57;119.28;1
16.53;26.53;76.53;114.11;75.26;1.26;177.89;60.44;96.66;151.09;0
19.23;29.23;79.23;124.90;102.26;2.61;218.39;55.07;88.60;137.67;1
17.33;27.33;77.33;117.30;83.25;1.66;189.88;49.71;80.57;124.28;1
16.86;26.86;76.86;115.45;78.62;1.43;182.92;38.00;63.00;94.99;1
19.18;29.18;79.18;124.72;101.79;2.59;217.68;42.50;69.75;106.26;1
17.10;27.10;77.10;116.41;81.02;1.55;186.53;49.83;80.75;124.58;0
19.37;29.37;79.37;125.49;103.73;2.69;220.59;39.42;65.13;98.55;1
17.47;27.47;77.47;117.87;84.67;1.73;192.01;44.87;73.30;112.16;1
17.83;27.83;77.83;119.32;88.30;1.91;197.44;45.00;73.50;112.50;1
18.46;28.46;78.46;121.85;94.62;2.23;206.93;29.64;50.45;74.09;1
14.94;24.94;74.94;107.75;59.38;0.47;154.07;58.88;94.33;147.21;0
17.51;27.51;77.51;118.04;85.09;1.75;192.64;49.67;80.50;124.17;1
18.41;28.41;78.41;121.63;94.07;2.20;206.11;51.40;83.10;128.49;1
19.46;29.46;79.46;125.85;104.63;2.73;221.95;37.54;62.31;93.84;1
17.35;27.35;77.35;117.41;83.53;1.68;190.30;36.42;60.63;91.06;1
16.92;26.92;76.92;115.68;79.20;1.46;183.80;53.80;86.71;134.51;0
17.97;27.97;77.97;119.88;89.71;1.99;199.56;43.88;71.82;109.70;1
16.90;26.90;76.90;115.60;78.99;1.45;183.49;37.02;61.53;92.55;1
18.29;28.29;78.29;121.18;92.95;2.15;204.42;48.55;78.82;121.37;1
19.38;29.38;79.38;125.50;103.76;2.69;220.64;41.08;67.62;102.70;1
17.40;27.40;77.40;117.58;83.95;1.70;190.93;33.94;56.91;84.84;1
18.00;28.00;78.00;119.99;89.98;2.00;199.96;41.97;68.96;104.93;0
17.26;27.26;77.26;117.03;82.58;1.63;188.87;48.95;79.42;122.37;1
17.76;27.76;77.76;119.03;87.58;1.88;196.37;33.85;56.77;84.62;1
18.00;28.00;78.00;120.02;90.05;2.00;200.07;40.34;66.50;100.84;1
18.46;28.46;78.46;121.85;94.62;2.23;206.94;53.00;85.50;132.50;1
17.25;27.25;77.25;116.99;82.49;1.62;188.73;43.62;71.43;109.05;1
17.76;27.76;77.76;119.04;87.61;1.88;196.41;49.54;80.32;123.86;0
18.62;28.62;78.62;122.50;96.25;2.31;209.37;44.58;72.87;111.44;1
18.35;28.35;78.35;121.41;93.53;2.18;205.30;35.63;59.45;89.08;1
17.46;27.46;77.46;117.83;84.58;1.73;191.87;50.39;81.58;125.97;0
18.28;28.28;78.28;121.14;92.84;2.14;204.26;56.91;91.37;142.28;1
16.88;26.88;76.88;115.53;78.81;1.44;183.22;28.13;48.19;70.32;1
18.42;28.42;78.42;121.67;94.19;2.21;206.28;38.83;64.25;97.08;1
18.73;28.73;78.73;122.91;97.27;2.36;210.90;39.05;64.57;97.62;1
19.85;29.85;79.85;127.41;108.52;2.93;227.77;38.63;63.95;96.58;1
18.05;28.05;78.05;120.18;90.46;2.02;200.69;39.95;65.93;99.88;1
18.88;28.88;78.88;123.52;98.81;2.44;213.21;44.57;72.86;111.43;1
17.68;27.68;77.68;118.71;86.78;1.84;195.17;63.39;101.08;158.47;1
16.37;26.37;76.37;113.48;73.71;1.19;175.56;51.55;83.32;128.87;1
17.63;27.63;77.63;118.53;86.32;1.82;194.48;39.64;65.46;99.11;1
18.28;28.28;78.28;121.10;92.75;2.14;204.13;44.69;73.03;111.71;1
17.49;27.49;77.49;117.95;84.87;1.74;192.30;49.27;79.90;123.17;0
18.03;28.03;78.03;120.12;90.31;2.02;200.47;38.92;64.38;97.29;1
18.14;28.14;78.14;120.58;91.45;2.07;202.17;54.34;87.51;135.85;1
17.30;27.30;77.30;117.20;82.99;1.65;189.49;60.49;96.73;151.22;0
18.63;28.63;78.63;122.52;96.30;2.31;209.45;44.71;73.06;111.76;1
16.71;26.71;76.71;114.83;77.08;1.35;180.62;47.39;77.08;118.47;1
18.07;28.07;78.07;120.27;90.67;2.03;201.00;54.54;87.82;136.36;1
16.34;26.34;76.34;113.35;73.36;1.17;175.05;49.78;80.67;124.45;1
17.99;27.99;77.99;119.98;89.95;2.00;199.92;44.34;72.52;110.86;1
17.48;27.48;77.48;117.91;84.77;1.74;192.16;44.50;72.75;111.25;1
17.62;27.62;77.62;118.48;86.19;1.81;194.28;43.19;70.78;107.97;1
18.19;28.19;78.19;120.76;91.90;2.10;202.85;28.57;48.86;71.44;1
15.78;25.78;75.78;111.13;67.84;0.89;166.76;59.52;95.29;148.81;0
16.97;26.97;76.97;115.88;79.70;1.49;184.55;41.92;68.88;104.80;1
18.10;28.10;78.10;120.39;90.98;2.05;201.47;37.34;62.01;93.36;1
20.77;30.77;80.77;131.08;117.69;3.38;241.54;43.06;70.58;107.64;1
17.09;27.09;77.09;116.34;80.86;1.54;186.28;44.43;72.65;111.08;1
17.16;27.16;77.16;116.64;81.59;1.58;187.39;54.43;87.65;136.08;1
17.18;27.18;77.18;116.74;81.84;1.59;187.76;41.02;67.53;102.55;1
17.01;27.01;77.01;116.03;80.09;1.50;185.13;46.56;75.83;116.39;1
17.62;27.62;77.62;118.47;86.18;1.81;194.27;37.02;61.53;92.54;1
17.17;27.17;77.17;116.70;81.74;1.59;187.61;34.46;57.69;86.15;1
16.91;26.91;76.91;115.65;79.13;1.46;183.70;48.18;78.27;120.45;1
