"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
1.0,1100.0,25860.0,39025.0,"HomeImp","Other",10.5,0.0,0.0,94.36666666666666,1.0,9.0,
1.0,1300.0,70053.0,68400.0,"HomeImp","Other",7.0,0.0,2.0,121.83333333333333,0.0,14.0,
1.0,1500.0,13500.0,16700.0,"HomeImp","Other",4.0,0.0,0.0,149.46666666666667,1.0,10.0,
1.0,1500.0,,,,,,,,,,,
0.0,1700.0,97800.0,112000.0,"HomeImp","Office",3.0,0.0,0.0,93.33333333333333,0.0,14.0,
1.0,1700.0,30548.0,40320.0,"HomeImp","Other",9.0,0.0,0.0,101.46600191058894,1.0,8.0,37.11361355844588
1.0,1800.0,48649.0,57037.0,"HomeImp","Other",5.0,3.0,2.0,77.1,1.0,17.0,
1.0,1800.0,28502.0,43034.0,"HomeImp","Other",11.0,0.0,0.0,88.76602987890995,0.0,8.0,36.884894092904815
1.0,2000.0,32700.0,46740.0,"HomeImp","Other",3.0,0.0,2.0,216.93333333333334,1.0,12.0,
1.0,2000.0,,62250.0,"HomeImp","Sales",16.0,0.0,0.0,115.8,0.0,13.0,
1.0,2000.0,22608.0,,,,18.0,,,,,,
1.0,2000.0,20627.0,29800.0,"HomeImp","Office",11.0,0.0,1.0,122.53333333333333,1.0,9.0,
1.0,2000.0,45000.0,55000.0,"HomeImp","Other",3.0,0.0,0.0,86.06666666666666,2.0,25.0,
0.0,2000.0,64536.0,87400.0,,"Mgr",2.5,0.0,0.0,147.13333333333333,0.0,24.0,
1.0,2100.0,71000.0,83850.0,"HomeImp","Other",8.0,0.0,1.0,123.0,0.0,16.0,
1.0,2200.0,24280.0,34687.0,"HomeImp","Other",,0.0,1.0,300.8666666666667,0.0,8.0,
1.0,2200.0,90957.0,102600.0,"HomeImp","Mgr",7.0,2.0,6.0,122.9,1.0,22.0,
1.0,2200.0,23030.0,,,,19.0,,,,,,3.7113122994598524
1.0,2300.0,28192.0,40150.0,"HomeImp","Other",4.5,0.0,0.0,54.6,1.0,16.0,
0.0,2300.0,102370.0,120953.0,"HomeImp","Office",2.0,0.0,0.0,90.99253346733862,0.0,13.0,31.588503178315474
1.0,2300.0,37626.0,46200.0,"HomeImp","Other",3.0,0.0,1.0,122.26666666666667,1.0,14.0,
1.0,2400.0,50000.0,73395.0,"HomeImp","ProfExe",5.0,1.0,0.0,,1.0,0.0,
1.0,2400.0,28000.0,40800.0,"HomeImp","Mgr",12.0,0.0,0.0,67.2,2.0,22.0,
1.0,2400.0,18000.0,,"HomeImp","Mgr",22.0,,2.0,121.73333333333333,0.0,10.0,
1.0,2400.0,,17180.0,"HomeImp","Other",,0.0,0.0,14.566666666666666,3.0,4.0,
1.0,2400.0,34863.0,47471.0,"HomeImp","Mgr",12.0,0.0,0.0,70.49108003183711,1.0,21.0,38.263600730930264
0.0,2400.0,98449.0,117195.0,"HomeImp","Office",4.0,0.0,0.0,93.8117748545694,0.0,13.0,29.681827045195657
1.0,2500.0,15000.0,20200.0,"HomeImp",,18.0,0.0,0.0,136.06666666666666,1.0,19.0,
1.0,2500.0,25116.0,36350.0,"HomeImp","Other",10.0,1.0,2.0,276.96666666666664,0.0,9.0,
0.0,2500.0,7229.0,44516.0,"HomeImp","Self",,0.0,0.0,208.0,0.0,12.0,
0.0,2500.0,71408.0,78600.0,"HomeImp","ProfExe",8.0,0.0,0.0,255.73333333333332,0.0,12.0,
1.0,2800.0,50795.0,63100.0,"HomeImp","Self",26.0,2.0,15.0,145.63333333333333,3.0,45.0,
1.0,2800.0,4000.0,60850.0,"HomeImp","Other",16.0,4.0,0.0,112.63333333333334,2.0,9.0,
1.0,2900.0,78600.0,113000.0,"DebtCon","ProfExe",6.0,1.0,0.0,165.33333333333334,2.0,26.0,
0.0,2900.0,103949.0,112505.0,"HomeImp","Office",1.0,0.0,0.0,96.10232966981151,0.0,13.0,30.051136286319764
0.0,2900.0,104373.0,120702.0,"HomeImp","Office",2.0,0.0,0.0,101.540297533419,0.0,13.0,29.915859028024535
1.0,2900.0,7750.0,67996.0,"HomeImp","Other",16.0,3.0,0.0,122.2046627617126,2.0,8.0,36.211347997761955
1.0,2900.0,61962.0,70915.0,"DebtCon","Mgr",2.0,0.0,0.0,282.8016592377598,3.0,37.0,49.20639579044953
0.0,3000.0,104570.0,121729.0,"HomeImp","Office",2.0,0.0,0.0,85.88437189499396,0.0,14.0,32.05978326718313
1.0,3000.0,7000.0,20300.0,"HomeImp","Other",3.0,0.0,0.0,50.8,5.0,9.0,
1.0,3000.0,,8800.0,"HomeImp","Other",2.0,0.0,1.0,77.76666666666667,0.0,3.0,
1.0,3000.0,,33000.0,"HomeImp","Other",1.0,0.0,1.0,23.3,1.0,2.0,
1.0,3000.0,119826.0,193500.0,"HomeImp","Other",8.0,0.0,0.0,130.03335845896146,0.0,27.0,
1.0,3000.0,20000.0,29750.0,"DebtCon","Other",2.0,0.0,0.0,187.06666666666666,0.0,12.0,
1.0,3000.0,,14500.0,"HomeImp","Other",3.0,0.0,0.0,9.3,14.0,2.0,
1.0,3000.0,,14100.0,"HomeImp","Other",1.0,0.0,0.0,104.2,0.0,19.0,
1.0,3000.0,47000.0,82700.0,"HomeImp","ProfExe",10.0,0.0,1.0,262.1666666666667,5.0,26.0,
1.0,3000.0,34542.0,45900.0,"HomeImp","Mgr",8.5,0.0,2.0,62.36666666666667,0.0,10.0,
0.0,3000.0,58000.0,71500.0,"HomeImp","Mgr",10.0,,2.0,211.93333333333334,0.0,25.0,
0.0,3000.0,47000.0,56400.0,"HomeImp","Office",21.0,0.0,0.0,201.86666666666667,0.0,20.0,
1.0,3100.0,39589.0,36100.0,"HomeImp","Other",1.5,0.0,0.0,153.16666666666666,1.0,14.0,
0.0,3100.0,,70400.0,,,,,,,,,
0.0,3200.0,67848.0,74566.0,"HomeImp","Mgr",10.0,,1.0,206.42660206374595,0.0,25.0,40.11567727750897
1.0,3200.0,48603.0,61000.0,"HomeImp","ProfExe",28.0,0.0,4.0,122.03333333333333,1.0,25.0,
1.0,3200.0,27200.0,40834.0,"HomeImp","Other",,0.0,0.0,298.13156403010413,0.0,7.0,35.553538789345666
1.0,3200.0,54000.0,64850.0,"HomeImp","Other",1.0,0.0,0.0,121.86666666666666,3.0,21.0,
0.0,3200.0,74864.0,87266.0,"HomeImp","ProfExe",7.0,0.0,0.0,250.63126922378595,0.0,12.0,42.90999735095538
1.0,3200.0,23159.0,,"HomeImp","Mgr",20.0,,2.0,117.8057478378437,0.0,9.0,0.5244992154298812
1.0,3300.0,126541.0,134527.0,"HomeImp","Sales",9.0,1.0,0.0,139.0,0.0,36.0,
1.0,3300.0,130518.0,164317.0,"DebtCon","Other",9.0,0.0,6.0,192.2891489729567,0.0,33.0,35.73055918989263
1.0,3400.0,37000.0,52000.0,"HomeImp","Office",2.0,0.0,1.0,183.29991561181438,0.0,6.0,
1.0,3500.0,23200.0,38666.0,"HomeImp","Other",11.0,0.0,0.0,162.36666666666667,0.0,14.0,
1.0,3500.0,19400.0,20494.0,"HomeImp","Other",5.0,0.0,0.0,95.93333333333334,0.0,9.0,
1.0,3600.0,61584.0,61800.0,"HomeImp","ProfExe",10.0,,,,,,
1.0,3600.0,41900.0,52490.0,"HomeImp","Mgr",3.0,0.0,0.0,72.03333333333333,2.0,4.0,
0.0,3600.0,83700.0,111800.0,"HomeImp","ProfExe",6.0,0.0,0.0,192.73333333333332,1.0,28.0,
0.0,3600.0,61327.0,76484.0,"HomeImp","Mgr",9.0,,2.0,202.51077515241013,0.0,25.0,41.516389699325146
0.0,3600.0,100693.0,114743.0,"HomeImp","Office",6.0,0.0,0.0,88.47045213477163,0.0,14.0,29.393543382190888
1.0,3600.0,48507.0,61000.0,"DebtCon","Office",13.0,1.0,4.0,97.4,0.0,17.0,
0.0,3600.0,52337.0,63989.0,"HomeImp","Office",20.0,0.0,0.0,204.27249884392694,0.0,20.0,20.47091550779106
1.0,3700.0,17857.0,21144.0,"HomeImp","Other",5.0,0.0,0.0,129.7173231274286,1.0,9.0,26.634347518270065
1.0,3800.0,19135.0,97692.0,"HomeImp","Mgr",1.6,1.0,6.0,252.63333333333333,1.0,25.0,
0.0,3800.0,51180.0,63459.0,"HomeImp","Office",20.0,0.0,0.0,203.75153357891614,0.0,20.0,20.06704205096096
0.0,3800.0,,73189.0,,,,,,,,,22.253949156493857
0.0,3800.0,11543.0,46045.0,"HomeImp","Self",,0.0,0.0,204.64799167055983,0.0,11.0,42.173165882329066
1.0,3900.0,29896.0,45960.0,"HomeImp","Other",11.0,0.0,0.0,146.12324219415146,0.0,14.0,24.478881191093883
1.0,3900.0,14500.0,22092.0,"HomeImp","Other",3.5,0.0,1.0,150.3,5.0,8.0,
0.0,3900.0,52825.0,63000.0,"DebtCon","ProfExe",8.0,0.0,4.0,171.66666666666666,1.0,31.0,
0.0,3900.0,102143.0,118742.0,"HomeImp","Office",2.0,0.0,0.0,85.27736557876463,0.0,13.0,29.343921088606084
1.0,3900.0,21200.0,39000.0,"DebtCon","Mgr",4.0,0.0,1.0,86.56666666666666,2.0,14.0,
0.0,4000.0,105164.0,112774.0,"HomeImp","Office",1.0,0.0,0.0,94.72487416713332,0.0,13.0,29.39092805517415
0.0,4000.0,54543.0,61777.0,"HomeImp","Office",21.0,0.0,0.0,205.5866800334934,0.0,19.0,21.80656346394986
1.0,4000.0,,80609.0,"HomeImp","Other",1.5,0.0,2.0,126.53333333333333,3.0,12.0,
1.0,4000.0,26572.0,31960.0,"HomeImp","Office",11.0,0.0,0.0,117.79510387478754,0.0,8.0,41.28649194751703
